x,y,z
0.252277,0.623155,-0.180138
0.304660,0.752546,0.014171
0.257408,0.635828,-0.158366
0.306537,0.757183,0.042811
0.309422,0.764309,-0.160280
0.312518,0.771958,0.072862
0.307626,0.759873,-0.129841
0.309884,0.765451,0.101395
0.312864,0.772811,-0.102370
0.308367,0.761704,0.130153
0.307285,0.759031,-0.071642
0.303528,0.749751,0.157227
0.309535,0.764588,-0.043229
0.311522,0.769497,0.191658
0.306160,0.756253,-0.014241
0.307372,0.759247,0.219479
0.257352,0.635690,-0.183762
0.306911,0.758107,0.014276
0.251558,0.621378,-0.154766
0.308036,0.760886,0.043020
0.310159,0.766129,-0.160661
0.311771,0.770111,0.072688
0.309109,0.763535,-0.130466
0.306904,0.758091,0.100420
0.309884,0.765451,-0.101395
0.310591,0.767198,0.131092
0.308780,0.762724,-0.071991
0.303528,0.749751,0.157227
0.305038,0.753481,-0.042601
0.306403,0.756852,0.188509
0.307661,0.759960,-0.014311
0.308822,0.762828,0.220514
0.252277,0.623155,-0.180138
0.304660,0.752546,0.014171
0.257408,0.635828,-0.158366
0.306537,0.757183,0.042811
0.309422,0.764309,-0.160280
0.312518,0.771958,0.072862
0.307626,0.759873,-0.129841
0.309884,0.765451,0.101395
0.312864,0.772811,-0.102370
0.308367,0.761704,0.130153
0.307285,0.759031,-0.071642
0.303528,0.749751,0.157227
0.309535,0.764588,-0.043229
0.311522,0.769497,0.191658
0.306160,0.756253,-0.014241
0.307372,0.759247,0.219479
0.257352,0.635690,-0.183762
0.306911,0.758107,0.014276
0.251558,0.621378,-0.154766
0.308036,0.760886,0.043020
0.310159,0.766129,-0.160661
0.311771,0.770111,0.072688
0.309109,0.763535,-0.130466
0.306904,0.758091,0.100420
0.309884,0.765451,-0.101395
0.310591,0.767198,0.131092
0.308780,0.762724,-0.071991
0.303528,0.749751,0.157227
0.305038,0.753481,-0.042601
0.306403,0.756852,0.188509
0.307661,0.759960,-0.014311
0.308822,0.762828,0.220514
0.254523,0.634747,-0.183244
0.306628,0.764688,0.014381
0.250946,0.625826,-0.155666
0.298821,0.745219,0.042078
0.304694,0.759864,-0.159135
0.309957,0.772990,0.072862
0.306575,0.764556,-0.130466
0.305866,0.762789,0.100908
0.299956,0.748049,-0.098958
0.305105,0.760889,0.129841
0.309957,0.772990,-0.072862
0.303963,0.758042,0.158753
0.304024,0.758196,-0.042811
0.301716,0.752438,0.187159
0.306628,0.764688,-0.014381
0.307010,0.765641,0.221031
0.252366,0.629368,-0.181691
0.308116,0.768401,0.014451
0.259650,0.647531,-0.161065
0.302538,0.754488,0.042601
0.301771,0.752576,-0.157608
0.306991,0.765593,0.072165
0.309516,0.771890,-0.131718
0.307344,0.766474,0.101395
0.302172,0.753577,-0.099689
0.303634,0.757222,0.129215
0.305508,0.761895,-0.071816
0.306886,0.765331,0.160280
0.308484,0.769318,-0.043439
0.303166,0.756056,0.188059
0.303651,0.757264,-0.014241
0.307010,0.765641,0.221031
0.254523,0.634747,-0.183244
0.306628,0.764688,0.014381
0.250946,0.625826,-0.155666
0.298821,0.745219,0.042078
0.304694,0.759864,-0.159135
0.309957,0.772990,0.072862
0.306575,0.764556,-0.130466
0.305866,0.762789,0.100908
0.299956,0.748049,-0.098958
0.305105,0.760889,0.129841
0.309957,0.772990,-0.072862
0.303963,0.758042,0.158753
0.304024,0.758196,-0.042811
0.301716,0.752438,0.187159
0.306628,0.764688,-0.014381
0.307010,0.765641,0.221031
0.252366,0.629368,-0.181691
0.308116,0.768401,0.014451
0.259650,0.647531,-0.161065
0.302538,0.754488,0.042601
0.301771,0.752576,-0.157608
0.306991,0.765593,0.072165
0.309516,0.771890,-0.131718
0.307344,0.766474,0.101395
0.302172,0.753577,-0.099689
0.303634,0.757222,0.129215
0.305508,0.761895,-0.071816
0.306886,0.765331,0.160280
0.308484,0.769318,-0.043439
0.303166,0.756056,0.188059
0.303651,0.757264,-0.014241
0.307010,0.765641,0.221031
0.249455,0.628449,-0.181173
0.301744,0.760178,0.014276
0.258107,0.650245,-0.161515
0.302113,0.761109,0.042915
0.300591,0.757274,-0.158371
0.302846,0.762956,0.071816
0.303904,0.765622,-0.130466
0.306131,0.771232,0.101883
0.303202,0.763852,-0.100908
0.301718,0.760114,0.129528
0.302111,0.761105,-0.071642
0.299866,0.755449,0.157990
0.305797,0.770390,-0.043439
0.304839,0.767977,0.190759
0.301744,0.760178,-0.014276
0.299346,0.754139,0.217408
0.248030,0.624858,-0.180138
0.301744,0.760178,0.014276
0.252355,0.635754,-0.157916
0.302850,0.762965,0.043020
0.303488,0.764573,-0.159898
0.299906,0.755549,0.071119
0.302447,0.761950,-0.129841
0.303202,0.763852,0.100908
0.306864,0.773078,-0.102127
0.303904,0.765622,0.130466
0.302111,0.761105,-0.071642
0.298418,0.751800,0.157227
0.301376,0.759252,-0.042811
0.306277,0.771599,0.191658
0.305432,0.769471,-0.014451
0.300772,0.757730,0.218443
0.249455,0.628449,-0.181173
0.301744,0.760178,0.014276
0.258107,0.650245,-0.161515
0.302113,0.761109,0.042915
0.300591,0.757274,-0.158371
0.302846,0.762956,0.071816
0.303904,0.765622,-0.130466
0.306131,0.771232,0.101883
0.303202,0.763852,-0.100908
0.301718,0.760114,0.129528
0.302111,0.761105,-0.071642
0.299866,0.755449,0.157990
0.305797,0.770390,-0.043439
0.304839,0.767977,0.190759
0.301744,0.760178,-0.014276
0.299346,0.754139,0.217408
0.248030,0.624858,-0.180138
0.301744,0.760178,0.014276
0.252355,0.635754,-0.157916
0.302850,0.762965,0.043020
0.303488,0.764573,-0.159898
0.299906,0.755549,0.071119
0.302447,0.761950,-0.129841
0.303202,0.763852,0.100908
0.306864,0.773078,-0.102127
0.303904,0.765622,0.130466
0.302111,0.761105,-0.071642
0.298418,0.751800,0.157227
0.301376,0.759252,-0.042811
0.306277,0.771599,0.191658
0.305432,0.769471,-0.014451
0.300772,0.757730,0.218443
0.250086,0.636508,-0.183244
0.296163,0.753782,0.014136
0.245146,0.623935,-0.154766
0.297263,0.756582,0.042601
0.300817,0.765628,-0.159898
0.305281,0.776990,0.073037
0.301230,0.766678,-0.130466
0.297630,0.757516,0.099933
0.299082,0.761211,-0.100420
0.299063,0.761162,0.129528
0.299453,0.762155,-0.071642
0.297228,0.756491,0.157990
0.295072,0.751005,-0.042287
0.297168,0.756340,0.187609
0.302745,0.770533,-0.014451
0.300951,0.765968,0.220514
0.249379,0.634710,-0.182726
0.300551,0.764949,0.014346
0.247996,0.631190,-0.156566
0.295072,0.751005,0.042287
0.300817,0.765628,-0.159898
0.303096,0.771426,0.072514
0.300507,0.764839,-0.130153
0.297630,0.757516,0.099933
0.297630,0.757516,-0.099933
0.299785,0.763001,0.129841
0.301638,0.767718,-0.072165
0.296510,0.754664,0.157608
0.297993,0.758441,-0.042706
0.295743,0.752712,0.186709
0.301282,0.766811,-0.014381
0.303070,0.771362,0.222067
0.250086,0.636508,-0.183244
0.296163,0.753782,0.014136
0.245146,0.623935,-0.154766
0.297263,0.756582,0.042601
0.300817,0.765628,-0.159898
0.305281,0.776990,0.073037
0.301230,0.766678,-0.130466
0.297630,0.757516,0.099933
0.299082,0.761211,-0.100420
0.299063,0.761162,0.129528
0.299453,0.762155,-0.071642
0.297228,0.756491,0.157990
0.295072,0.751005,-0.042287
0.297168,0.756340,0.187609
0.302745,0.770533,-0.014451
0.300951,0.765968,0.220514
0.249379,0.634710,-0.182726
0.300551,0.764949,0.014346
0.247996,0.631190,-0.156566
0.295072,0.751005,0.042287
0.300817,0.765628,-0.159898
0.303096,0.771426,0.072514
0.300507,0.764839,-0.130153
0.297630,0.757516,0.099933
0.297630,0.757516,-0.099933
0.299785,0.763001,0.129841
0.301638,0.767718,-0.072165
0.296510,0.754664,0.157608
0.297993,0.758441,-0.042706
0.295743,0.752712,0.186709
0.301282,0.766811,-0.014381
0.303070,0.771362,0.222067
0.245762,0.631976,-0.181691
0.299328,0.769721,0.014416
0.249323,0.641133,-0.158815
0.293172,0.753892,0.042392
0.293873,0.755694,-0.157608
0.303289,0.779907,0.073211
0.301416,0.775089,-0.131718
0.297862,0.765950,0.100908
0.294984,0.758550,-0.099933
0.296404,0.762202,0.129528
0.297513,0.765052,-0.071816
0.297431,0.764843,0.159516
0.294620,0.757615,-0.042601
0.295232,0.759189,0.188059
0.293530,0.754811,-0.014136
0.296875,0.763412,0.219479
0.240861,0.619372,-0.178068
0.297154,0.764130,0.014311
0.249323,0.641133,-0.158815
0.293172,0.753892,0.042392
0.296008,0.761184,-0.158753
0.296068,0.761338,0.071468
0.297836,0.765884,-0.130153
0.299301,0.769651,0.101395
0.297862,0.765950,-0.100908
0.292824,0.752996,0.127963
0.293180,0.753911,-0.070770
0.295297,0.759354,0.158371
0.298964,0.768783,-0.043229
0.293820,0.755556,0.187159
0.294255,0.756675,-0.014171
0.294774,0.758011,0.217926
0.245762,0.631976,-0.181691
0.299328,0.769721,0.014416
0.249323,0.641133,-0.158815
0.293172,0.753892,0.042392
0.293873,0.755694,-0.157608
0.303289,0.779907,0.073211
0.301416,0.775089,-0.131718
0.297862,0.765950,0.100908
0.294984,0.758550,-0.099933
0.296404,0.762202,0.129528
0.297513,0.765052,-0.071816
0.297431,0.764843,0.159516
