x,y,z
1.533677,0.016597,-0.026772
1.518347,0.016431,0.406864
1.344490,0.014549,-0.360276
1.531677,0.016575,0.026737
1.531620,0.016574,-0.353623
1.527814,0.016533,0.080074
1.521433,0.016464,-0.295754
1.524089,0.016493,0.133348
1.538728,0.016651,-0.243725
1.542326,0.016690,0.189385
1.532401,0.016583,-0.188166
1.517000,0.016416,0.240283
1.538034,0.016644,-0.134568
1.519470,0.016443,0.295372
1.533805,0.016598,-0.080388
1.521877,0.016469,0.351374
1.527678,0.016532,-0.026667
1.518347,0.016431,0.406864
1.367671,0.014800,-0.366488
1.523679,0.016488,0.026597
1.523825,0.016490,-0.351823
1.523819,0.016490,0.079865
1.533212,0.016592,-0.298044
1.536042,0.016622,0.134394
1.530827,0.016566,-0.242473
1.526447,0.016518,0.187435
1.522477,0.016475,-0.186948
1.528852,0.016544,0.242161
1.549988,0.016773,-0.135614
1.513580,0.016379,0.294227
1.525817,0.016512,-0.079969
1.521877,0.016469,0.351374
1.533677,0.016597,-0.026772
1.518347,0.016431,0.406864
1.344490,0.014549,-0.360276
1.531677,0.016575,0.026737
1.531620,0.016574,-0.353623
1.527814,0.016533,0.080074
1.521433,0.016464,-0.295754
1.524089,0.016493,0.133348
1.538728,0.016651,-0.243725
1.542326,0.016690,0.189385
1.532401,0.016583,-0.188166
1.517000,0.016416,0.240283
1.538034,0.016644,-0.134568
1.519470,0.016443,0.295372
1.533805,0.016598,-0.080388
1.521877,0.016469,0.351374
1.527678,0.016532,-0.026667
1.518347,0.016431,0.406864
1.319320,0.018883,-0.353547
1.519613,0.021750,0.026528
1.545193,0.022116,-0.356772
1.535735,0.021980,0.080493
1.523329,0.021803,-0.296136
1.520037,0.021756,0.133000
1.534710,0.021966,-0.243099
1.544244,0.022102,0.189629
1.534319,0.021960,-0.188410
1.516934,0.021711,0.240283
1.537967,0.022012,-0.134568
1.513514,0.021662,0.294227
1.541726,0.022066,-0.080807
1.525707,0.021837,0.352273
1.525611,0.021836,-0.026632
1.502827,0.021509,0.402722
1.315456,0.018828,-0.352512
1.515614,0.021692,0.026458
1.531553,0.021921,-0.353623
1.539729,0.022038,0.080702
1.533145,0.021943,-0.298044
1.539959,0.022041,0.134743
1.518909,0.021740,-0.240596
1.536304,0.021989,0.188654
1.540274,0.022045,-0.189141
1.520884,0.021768,0.240909
1.541951,0.022069,-0.134917
1.505662,0.021550,0.292701
1.537732,0.022009,-0.080597
1.529604,0.021893,0.353173
1.537608,0.022007,-0.026842
1.510553,0.021620,0.404793
1.319320,0.018883,-0.353547
1.519613,0.021750,0.026528
1.545193,0.022116,-0.356772
1.535735,0.021980,0.080493
1.523329,0.021803,-0.296136
1.520037,0.021756,0.133000
1.534710,0.021966,-0.243099
1.544244,0.022102,0.189629
1.534319,0.021960,-0.188410
1.516934,0.021711,0.240283
1.537967,0.022012,-0.134568
1.513514,0.021662,0.294227
1.541726,0.022066,-0.080807
1.525707,0.021837,0.352273
1.525611,0.021836,-0.026632
1.502827,0.021509,0.402722
1.315456,0.018828,-0.352512
1.515614,0.021692,0.026458
1.531553,0.021921,-0.353623
1.539729,0.022038,0.080702
1.533145,0.021943,-0.298044
1.539959,0.022041,0.134743
1.518909,0.021740,-0.240596
1.536304,0.021989,0.188654
1.540274,0.022045,-0.189141
1.520884,0.021768,0.240909
1.541951,0.022069,-0.134917
1.505662,0.021550,0.292701
1.537732,0.022009,-0.080597
1.529604,0.021893,0.353173
1.537608,0.022007,-0.026842
1.510553,0.021620,0.404793
1.334698,0.023763,-0.357688
1.521527,0.027090,0.026563
1.523673,0.027128,-0.351823
1.535649,0.027341,0.080493
1.535022,0.027330,-0.298425
1.531905,0.027274,0.134046
1.526724,0.027182,-0.241848
1.520340,0.027068,0.186704
1.538203,0.027387,-0.188897
1.532649,0.027288,0.242786
1.549833,0.027594,-0.135614
1.507540,0.026841,0.293083
1.507692,0.026843,-0.079027
1.525622,0.027163,0.352273
1.541521,0.027446,-0.026912
1.523989,0.027133,0.408416
1.299930,0.023144,-0.348370
1.527525,0.027196,0.026667
1.523673,0.027128,-0.351823
1.527661,0.027199,0.080074
1.536985,0.027365,-0.298807
1.545849,0.027523,0.135266
1.530674,0.027252,-0.242473
1.524309,0.027139,0.187191
1.524309,0.027139,-0.187191
1.524749,0.027147,0.241535
1.549833,0.027594,-0.135614
1.511466,0.026911,0.293846
1.527661,0.027199,-0.080074
1.517828,0.027024,0.350474
1.533523,0.027303,-0.026772
1.525921,0.027168,0.408934
1.334698,0.023763,-0.357688
1.521527,0.027090,0.026563
1.523673,0.027128,-0.351823
1.535649,0.027341,0.080493
1.535022,0.027330,-0.298425
1.531905,0.027274,0.134046
1.526724,0.027182,-0.241848
1.520340,0.027068,0.186704
1.538203,0.027387,-0.188897
1.532649,0.027288,0.242786
1.549833,0.027594,-0.135614
1.507540,0.026841,0.293083
1.507692,0.026843,-0.079027
1.525622,0.027163,0.352273
1.541521,0.027446,-0.026912
1.523989,0.027133,0.408416
1.299930,0.023144,-0.348370
1.527525,0.027196,0.026667
1.523673,0.027128,-0.351823
1.527661,0.027199,0.080074
1.536985,0.027365,-0.298807
1.545849,0.027523,0.135266
1.530674,0.027252,-0.242473
1.524309,0.027139,0.187191
1.524309,0.027139,-0.187191
1.524749,0.027147,0.241535
1.549833,0.027594,-0.135614
1.511466,0.026911,0.293846
1.527661,0.027199,-0.080074
1.517828,0.027024,0.350474
1.533523,0.027303,-0.026772
1.525921,0.027168,0.408934
1.280532,0.027047,-0.343194
1.533424,0.032388,0.026772
