x,y,z
1.514572,0.000000,-0.405828
1.511770,0.000000,0.026388
1.520017,0.000000,-0.350924
1.531898,0.000000,0.080283
1.527412,0.000000,-0.296899
1.544102,0.000000,0.135091
1.523015,0.000000,-0.241222
1.520581,0.000000,0.186704
1.536461,0.000000,-0.188654
1.528942,0.000000,0.242161
1.538125,0.000000,-0.134568
1.501890,0.000000,0.291938
1.499942,0.000000,-0.078609
1.521966,0.000000,0.351374
1.533766,0.000000,-0.026772
1.506844,0.000000,0.403758
1.508776,0.000000,-0.404275
1.519768,0.000000,0.026528
1.523915,0.000000,-0.351823
1.523909,0.000000,0.079865
1.523485,0.000000,-0.296136
1.532147,0.000000,0.134046
1.524991,0.000000,-0.241535
1.528521,0.000000,0.187679
1.530506,0.000000,-0.187923
1.521040,0.000000,0.240909
1.546094,0.000000,-0.135266
1.511706,0.000000,0.293846
1.527903,0.000000,-0.080074
1.514171,0.000000,0.349574
1.529767,0.000000,-0.026702
1.520367,0.000000,0.407381
1.514572,0.000000,-0.405828
1.511770,0.000000,0.026388
1.520017,0.000000,-0.350924
1.531898,0.000000,0.080283
1.527412,0.000000,-0.296899
1.544102,0.000000,0.135091
1.523015,0.000000,-0.241222
1.520581,0.000000,0.186704
1.536461,0.000000,-0.188654
1.528942,0.000000,0.242161
1.538125,0.000000,-0.134568
1.501890,0.000000,0.291938
1.499942,0.000000,-0.078609
1.521966,0.000000,0.351374
1.533766,0.000000,-0.026772
1.506844,0.000000,0.403758
1.508776,0.000000,-0.404275
1.519768,0.000000,0.026528
1.523915,0.000000,-0.351823
1.523909,0.000000,0.079865
1.523485,0.000000,-0.296136
1.532147,0.000000,0.134046
1.524991,0.000000,-0.241535
1.528521,0.000000,0.187679
1.530506,0.000000,-0.187923
1.521040,0.000000,0.240909
1.546094,0.000000,-0.135266
1.511706,0.000000,0.293846
1.527903,0.000000,-0.080074
1.514171,0.000000,0.349574
1.529767,0.000000,-0.026702
1.520367,0.000000,0.407381
1.495244,0.005219,-0.400652
1.523759,0.005319,0.026597
1.531700,0.005347,-0.353623
1.519905,0.005305,0.079655
1.521513,0.005311,-0.295754
1.544092,0.005390,0.135091
1.542760,0.005385,-0.244351
1.532482,0.005349,0.188166
1.530497,0.005342,-0.187923
1.513129,0.005282,0.239658
1.538115,0.005369,-0.134568
1.515623,0.005291,0.294609
1.533886,0.005354,-0.080388
1.518059,0.005299,0.350474
1.519759,0.005305,-0.026528
1.504903,0.005253,0.403240
1.452744,0.005071,-0.389264
1.517760,0.005298,0.026493
1.537547,0.005367,-0.354973
1.527894,0.005333,0.080074
1.523476,0.005318,-0.296136
1.524169,0.005320,0.133348
1.530908,0.005344,-0.242473
1.532482,0.005349,0.188166
1.530497,0.005342,-0.187923
1.513129,0.005282,0.239658
1.530146,0.005341,-0.133871
1.511697,0.005277,0.293846
1.541875,0.005382,-0.080807
1.518059,0.005299,0.350474
1.527758,0.005333,-0.026667
1.495244,0.005219,0.400652
1.495244,0.005219,-0.400652
1.523759,0.005319,0.026597
1.531700,0.005347,-0.353623
1.519905,0.005305,0.079655
1.521513,0.005311,-0.295754
1.544092,0.005390,0.135091
1.542760,0.005385,-0.244351
1.532482,0.005349,0.188166
1.530497,0.005342,-0.187923
1.513129,0.005282,0.239658
1.538115,0.005369,-0.134568
1.515623,0.005291,0.294609
1.533886,0.005354,-0.080388
1.518059,0.005299,0.350474
1.519759,0.005305,-0.026528
1.504903,0.005253,0.403240
1.452744,0.005071,-0.389264
1.517760,0.005298,0.026493
1.537547,0.005367,-0.354973
1.527894,0.005333,0.080074
1.523476,0.005318,-0.296136
1.524169,0.005320,0.133348
1.530908,0.005344,-0.242473
1.532482,0.005349,0.188166
1.530497,0.005342,-0.187923
1.513129,0.005282,0.239658
1.530146,0.005341,-0.133871
1.511697,0.005277,0.293846
1.541875,0.005382,-0.080807
1.518059,0.005299,0.350474
1.527758,0.005333,-0.026667
1.495244,0.005219,0.400652
1.429535,0.009980,-0.383052
1.515732,0.010582,0.026458
1.531672,0.010693,-0.353623
1.539849,0.010750,0.080702
1.529338,0.010677,-0.297280
1.536095,0.010724,0.134394
