x,y,z
1.491386,0.003384,-0.399617
1.515765,0.003439,0.026458
1.535603,0.003484,-0.354523
1.535888,0.003485,0.080493
1.527408,0.003466,-0.296899
1.524174,0.003458,0.133348
1.530913,0.003474,-0.242473
1.536457,0.003486,0.188654
1.528517,0.003468,-0.187679
1.521036,0.003451,0.240909
1.530151,0.003472,-0.133871
1.507776,0.003421,0.293083
1.541880,0.003498,-0.080807
1.516116,0.003440,0.350024
1.525764,0.003462,-0.026632
1.499113,0.003401,0.401687
1.479795,0.003358,-0.396511
1.503767,0.003412,0.026248
1.531706,0.003475,-0.353623
1.539883,0.003494,0.080702
1.525445,0.003461,-0.296517
1.544098,0.003503,0.135091
1.523011,0.003456,-0.241222
1.534472,0.003482,0.188410
1.544398,0.003504,-0.189629
1.524987,0.003460,0.241535
1.534136,0.003481,-0.134220
1.505812,0.003417,0.292701
1.533891,0.003480,-0.080388
1.523911,0.003458,0.351823
1.527763,0.003466,-0.026667
1.502977,0.003410,0.402722
1.491386,0.003384,-0.399617
1.515765,0.003439,0.026458
1.535603,0.003484,-0.354523
1.535888,0.003485,0.080493
1.527408,0.003466,-0.296899
1.524174,0.003458,0.133348
1.530913,0.003474,-0.242473
1.536457,0.003486,0.188654
1.528517,0.003468,-0.187679
1.521036,0.003451,0.240909
1.530151,0.003472,-0.133871
1.507776,0.003421,0.293083
1.541880,0.003498,-0.080807
1.516116,0.003440,0.350024
1.525764,0.003462,-0.026632
1.499113,0.003401,0.401687
1.479795,0.003358,-0.396511
1.503767,0.003412,0.026248
1.531706,0.003475,-0.353623
1.539883,0.003494,0.080702
1.525445,0.003461,-0.296517
1.544098,0.003503,0.135091
1.523011,0.003456,-0.241222
1.534472,0.003482,0.188410
1.544398,0.003504,-0.189629
1.524987,0.003460,0.241535
1.534136,0.003481,-0.134220
1.505812,0.003417,0.292701
1.533891,0.003480,-0.080388
1.523911,0.003458,0.351823
1.527763,0.003466,-0.026667
1.502977,0.003410,0.402722
1.460456,0.008412,-0.391334
1.521743,0.008765,0.026563
1.525838,0.008788,-0.352273
1.531872,0.008823,0.080283
1.527387,0.008797,-0.296899
1.524153,0.008779,0.133348
1.526941,0.008795,-0.241848
1.520555,0.008758,0.186704
1.534451,0.008838,-0.188410
1.532867,0.008829,0.242786
1.542084,0.008882,-0.134917
1.505791,0.008673,0.292701
1.527878,0.008800,-0.080074
1.519992,0.008755,0.350924
1.541739,0.008880,-0.026912
1.510683,0.008701,0.404793
1.414092,0.008145,-0.378911
1.519743,0.008753,0.026528
1.523889,0.008777,-0.351823
1.523883,0.008777,0.079865
1.529350,0.008809,-0.297280
1.536107,0.008847,0.134394
1.534842,0.008840,-0.243099
1.524526,0.008781,0.187191
1.520555,0.008758,-0.186704
1.524965,0.008783,0.241535
1.546068,0.008905,-0.135266
1.513644,0.008718,0.294227
1.525881,0.008789,-0.079969
1.516095,0.008732,0.350024
1.531741,0.008822,-0.026737
1.528069,0.008801,0.409452
1.460456,0.008412,-0.391334
1.521743,0.008765,0.026563
1.525838,0.008788,-0.352273
1.531872,0.008823,0.080283
1.527387,0.008797,-0.296899
1.524153,0.008779,0.133348
1.526941,0.008795,-0.241848
1.520555,0.008758,0.186704
1.534451,0.008838,-0.188410
1.532867,0.008829,0.242786
1.542084,0.008882,-0.134917
1.505791,0.008673,0.292701
1.527878,0.008800,-0.080074
1.519992,0.008755,0.350924
1.541739,0.008880,-0.026912
1.510683,0.008701,0.404793
1.414092,0.008145,-0.378911
1.519743,0.008753,0.026528
1.523889,0.008777,-0.351823
1.523883,0.008777,0.079865
1.529350,0.008809,-0.297280
1.536107,0.008847,0.134394
1.534842,0.008840,-0.243099
1.524526,0.008781,0.187191
1.520555,0.008758,-0.186704
1.524965,0.008783,0.241535
1.546068,0.008905,-0.135266
1.513644,0.008718,0.294227
1.525881,0.008789,-0.079969
1.516095,0.008732,0.350024
1.531741,0.008822,-0.026737
1.528069,0.008801,0.409452
1.381215,0.012777,-0.370111
1.533701,0.014188,0.026772
